Depression,Trait Anxiety,Eating Disorder,Alcohol Addiction,Impulsivity,Schizophrenia,Obsessive Compulsive Disorder,Apathy,Social Anxiety,Induced Pathology,Iteration
0.1666666666666666,0.0,0.0641025641025641,0.15,0.2777777777777778,0.1162790697674418,0.2166666666666666,0.0925925925925925,0.4027777777777778,No Pathology,1
0.65,0.8833333333333333,0.7435897435897436,0.55,0.4777777777777778,0.4418604651162791,0.8666666666666667,0.8888888888888888,0.8541666666666666,Depression,1
0.6666666666666666,0.9166666666666666,0.4871794871794871,0.35,0.4888888888888889,0.3953488372093023,0.8,0.4074074074074074,0.9097222222222222,Trait Anxiety,1
0.7,0.9666666666666668,0.7692307692307693,0.1,0.4222222222222222,0.2325581395348837,0.9,0.5185185185185185,0.8888888888888888,Eating Disorder,1
0.5666666666666667,0.9666666666666668,0.6153846153846154,0.825,0.5111111111111111,0.3023255813953488,0.6,0.5185185185185185,0.8333333333333334,Alcohol Addiction,1
0.55,0.8666666666666667,0.5769230769230769,0.525,0.6444444444444445,0.4651162790697674,0.4833333333333333,0.2222222222222222,0.75,Impulsivity,1
0.9,0.9666666666666668,0.8205128205128205,0.45,0.6111111111111112,0.4418604651162791,0.9333333333333332,0.8518518518518519,0.9513888888888888,Schizophrenia,1
0.8333333333333334,0.9333333333333332,0.7051282051282052,0.475,0.2777777777777778,0.4651162790697674,0.8,0.7037037037037037,0.9652777777777778,Obsessive Compulsive Disorder,1
0.5833333333333334,0.6666666666666666,0.6794871794871795,0.55,0.5444444444444444,0.2790697674418604,0.35,0.9074074074074074,0.7152777777777778,Apathy,1
0.5833333333333334,0.9333333333333332,0.4487179487179487,0.325,0.3222222222222222,0.2790697674418604,0.9666666666666668,0.4074074074074074,0.9861111111111112,Social Anxiety,1
0.1666666666666666,0.0166666666666666,0.141025641025641,0.15,0.3111111111111111,0.1395348837209302,0.3,0.0925925925925925,0.4513888888888889,No Pathology,2
0.65,0.9,0.6666666666666666,0.475,0.4555555555555555,0.3488372093023256,0.6,0.9074074074074074,0.9027777777777778,Depression,2
0.6166666666666667,0.85,0.5769230769230769,0.375,0.4333333333333333,0.3953488372093023,0.75,0.2962962962962963,0.9097222222222222,Trait Anxiety,2
0.6,0.9666666666666668,0.6923076923076923,0.15,0.3666666666666666,0.2558139534883721,0.9,0.5,0.8888888888888888,Eating Disorder,2
0.6,0.95,0.6538461538461539,0.6,0.5333333333333333,0.3255813953488372,0.6333333333333333,0.6111111111111112,0.8263888888888888,Alcohol Addiction,2
0.6166666666666667,0.9166666666666666,0.6923076923076923,0.575,0.6666666666666666,0.3488372093023256,0.65,0.2037037037037037,0.7430555555555556,Impulsivity,2
0.8833333333333333,0.9666666666666668,0.8333333333333334,0.45,0.7222222222222222,0.4651162790697674,0.9833333333333332,0.8333333333333334,0.9236111111111112,Schizophrenia,2
0.8166666666666667,0.9166666666666666,0.6923076923076923,0.375,0.3333333333333333,0.4418604651162791,1.0,0.3888888888888889,0.9513888888888888,Obsessive Compulsive Disorder,2
0.6,0.7,0.5641025641025641,0.5,0.5555555555555556,0.3023255813953488,0.5333333333333333,0.9074074074074074,0.7291666666666666,Apathy,2
0.4666666666666667,0.9333333333333332,0.4487179487179487,0.35,0.4555555555555555,0.3953488372093023,0.6333333333333333,0.4259259259259259,0.9861111111111112,Social Anxiety,2
0.1666666666666666,0.0166666666666666,0.0512820512820512,0.15,0.2888888888888888,0.1395348837209302,0.2666666666666666,0.1111111111111111,0.3819444444444444,No Pathology,3
0.6666666666666666,0.9,0.5384615384615384,0.5,0.5333333333333333,0.3255813953488372,0.5666666666666667,0.8703703703703703,0.9236111111111112,Depression,3
0.6666666666666666,0.8833333333333333,0.5769230769230769,0.35,0.4444444444444444,0.4186046511627907,0.7333333333333333,0.3703703703703703,0.9375,Trait Anxiety,3
0.8166666666666667,0.9333333333333332,0.8717948717948718,0.125,0.4222222222222222,0.2558139534883721,0.8833333333333333,0.6851851851851852,0.8472222222222222,Eating Disorder,3
0.5833333333333334,0.9666666666666668,0.6538461538461539,0.825,0.5555555555555556,0.2558139534883721,0.4333333333333333,0.5740740740740741,0.8194444444444444,Alcohol Addiction,3
0.55,0.8833333333333333,0.5256410256410257,0.4,0.6222222222222222,0.4418604651162791,0.5666666666666667,0.1851851851851851,0.7083333333333334,Impulsivity,3
0.9,0.9333333333333332,0.7307692307692307,0.375,0.5444444444444444,0.4651162790697674,0.95,0.8888888888888888,0.9236111111111112,Schizophrenia,3
0.85,0.8333333333333334,0.8205128205128205,0.375,0.3555555555555555,0.4651162790697674,0.8,0.7777777777777778,0.9305555555555556,Obsessive Compulsive Disorder,3
0.5166666666666667,0.7166666666666667,0.4871794871794871,0.35,0.5222222222222223,0.3023255813953488,0.4833333333333333,0.9074074074074074,0.7291666666666666,Apathy,3
0.6166666666666667,0.9333333333333332,0.4871794871794871,0.35,0.4222222222222222,0.3488372093023256,0.7166666666666667,0.3888888888888889,0.9861111111111112,Social Anxiety,3
0.1666666666666666,0.0166666666666666,0.0769230769230769,0.1,0.2888888888888888,0.1627906976744186,0.2666666666666666,0.0925925925925925,0.4027777777777778,No Pathology,4
0.6166666666666667,0.7833333333333333,0.5512820512820513,0.5,0.4777777777777778,0.3255813953488372,0.4666666666666667,0.8888888888888888,0.9305555555555556,Depression,4
0.6333333333333333,0.9166666666666666,0.717948717948718,0.35,0.5,0.3953488372093023,0.75,0.4444444444444444,0.9027777777777778,Trait Anxiety,4
0.75,0.9166666666666666,0.7435897435897436,0.15,0.3666666666666666,0.2558139534883721,0.9,0.6111111111111112,0.9236111111111112,Eating Disorder,4
0.65,0.95,0.6153846153846154,0.85,0.5777777777777777,0.3953488372093023,0.45,0.6111111111111112,0.8819444444444444,Alcohol Addiction,4
0.6,0.9,0.7307692307692307,0.5,0.5888888888888889,0.3953488372093023,0.8666666666666667,0.2037037037037037,0.7361111111111112,Impulsivity,4
0.9,0.9666666666666668,0.7435897435897436,0.3,0.6111111111111112,0.6046511627906976,0.9666666666666668,0.9074074074074074,0.9583333333333334,Schizophrenia,4
0.85,0.9333333333333332,0.8205128205128205,0.4,0.3,0.4186046511627907,0.85,0.2962962962962963,0.9375,Obsessive Compulsive Disorder,4
0.5833333333333334,0.6666666666666666,0.5384615384615384,0.275,0.5666666666666667,0.3023255813953488,0.1666666666666666,0.8888888888888888,0.7152777777777778,Apathy,4
0.6666666666666666,0.9333333333333332,0.4871794871794871,0.3,0.4111111111111111,0.3720930232558139,0.6666666666666666,0.5185185185185185,0.9791666666666666,Social Anxiety,4
